2013-12-02 178 中度污染 135 219 64 1.7 109 58 
2013-12-03 137 轻度污染 105 171 40 1.4 79 100 
2013-12-04 269 重度污染 219 318 44 1.6 116 82 
2013-12-05 277 重度污染 227 304 29 1.6 90 83 
2013-12-06 390 严重污染 340 459 48 2.1 100 56 
2013-12-07 461 严重污染 442 543 53 2.8 104 57 
2013-12-08 244 重度污染 194 258 28 1.8 67 90 
2013-12-09 219 重度污染 169 225 58 2 68 68 
2013-12-10 98 良 74 115 52 1.4 61 41 
2013-12-11 148 轻度污染 113 177 64 1.5 75 44 
2013-12-12 142 轻度污染 109 168 50 1.5 68 41 
2013-12-13 152 中度污染 117 177 60 1.5 78 51 
2013-12-14 136 轻度污染 104 164 34 1.5 75 31 
2013-12-15 110 轻度污染 83 141 25 1.4 61 69 
2013-12-16 44 优 30 44 24 1.1 31 82 
2013-12-17 23 优 10 15 6 1 27 46 
2013-12-18 54 良 38 56 19 1 38 50 
2013-12-19 132 轻度污染 101 129 50 1.5 52 49 
2013-12-20 228 重度污染 178 229 79 2.1 74 46 
2013-12-21 124 轻度污染 94 130 65 1.7 66 53 
2013-12-22 129 轻度污染 98 137 54 1.6 71 42 
2013-12-23 130 轻度污染 99 140 54 1.6 63 56 
2013-12-24 142 轻度污染 109 147 41 1.7 65 58 
2013-12-25 198 中度污染 149 201 50 2 84 35 
2013-12-26 302 严重污染 252 338 105 2.6 106 29 
2013-12-27 66 良 46 81 43 1.3 46 43 
2013-12-28 101 轻度污染 76 124 58 1.4 69 39 
2013-12-29 147 轻度污染 113 173 64 1.7 77 40 
2013-12-30 151 中度污染 115 179 71 1.8 86 50 
2013-12-31 127 轻度污染 97 152 45 1.8 86 56 
2014-01-01 112 轻度污染 85 137 40 1.6 79 65 
2014-01-02 89 良 66 111 27 1.3 68 99 
2014-01-03 186 中度污染 140 213 72 1.7 117 63 
2014-01-04 189 中度污染 142 228 79 1.7 81 30 
2014-01-05 135 轻度污染 103 161 31 1.4 65 41 
2014-01-06 122 轻度污染 93 143 39 1.4 55 64 
2014-01-07 93 良 69 104 20 1.4 76 46 
2014-01-08 65 良 47 59 16 1.2 54 45 
2014-01-09 45 优 24 45 14 0.9 26 64 
2014-01-10 71 良 52 88 23 1.3 54 56 
2014-01-11 98 良 73 110 19 1.4 74 30 
2014-01-12 85 良 63 80 18 1.3 52 57 
2014-01-13 103 轻度污染 77 101 44 1.4 46 66 
2014-01-14 38 优 21 38 12 1 39 63 
2014-01-15 49 优 32 49 13 1 38 69 
2014-01-16 77 良 57 86 20 1.3 57 60 
2014-01-17 143 轻度污染 110 154 31 1.6 88 48 
2014-01-18 243 重度污染 193 252 49 1.9 75 75 
2014-01-19 210 重度污染 160 203 30 1.9 60 79 
2014-01-20 178 中度污染 134 206 64 1.9 75 70 
2014-01-21 102 轻度污染 69 153 37 1.5 51 36 
2014-01-22 79 良 58 98 28 1.3 60 58 
2014-01-23 68 良 49 70 16 1.3 50 75 
2014-01-24 38 优 17 30 9 0.9 27 76 
2014-01-25 120 轻度污染 91 123 17 1.3 40 86 
2014-01-26 50 优 30 50 8 1.1 19 84 
2014-01-27 36 优 14 34 26 1.1 28 72 
2014-01-28 56 良 37 62 17 1.2 39 62 
2014-01-29 56 良 40 61 12 1.2 32 79 
2014-01-30 148 轻度污染 113 138 24 1.6 55 109 
2014-01-31 106 轻度污染 80 95 11 1.4 21 108 
2014-02-01 48 优 34 43 10 1.3 28 89 
2014-02-02 119 轻度污染 90 110 20 1.9 42 44 
2014-02-03 57 良 41 59 11 1.7 18 81 
2014-02-04 38 优 13 30 8 1.2 10 76 
2014-02-05 42 优 25 42 8 1.4 26 73 
2014-02-06 38 优 23 38 7 1.4 29 43 
2014-02-07 26 优 18 16 8 1.3 26 37 
2014-02-08 67 良 49 53 15 1.3 23 63 
2014-02-09 62 良 44 52 12 1.2 24 60 
2014-02-10 42 优 29 37 35 1 21 84 
2014-02-11 60 良 43 55 22 1 29 62 
2014-02-12 75 良 55 67 19 1.1 46 46 
2014-02-13 36 优 25 34 10 1 32 70 
2014-02-14 59 良 43 57 16 1 35 83 
2014-02-15 70 良 51 69 17 1 48 73 
2014-02-16 44 优 31 40 11 1.1 57 56 
2014-02-17 46 优 32 37 39 1.2 51 41 
2014-02-18 33 优 16 20 11 0.8 43 65 
2014-02-19 85 良 63 70 23 1 47 46 
2014-02-20 118 轻度污染 90 109 40 0.9 43 85 
2014-02-21 111 轻度污染 84 109 29 1.1 43 107 
2014-02-22 92 良 68 86 18 1.1 44 107 
2014-02-23 77 良 57 81 20 1.1 48 103 
2014-02-24 118 轻度污染 90 113 36 1.3 71 104 
2014-02-25 55 良 39 51 13 1 67 40 
2014-02-26 63 良 45 54 24 0.9 51 49 
2014-02-27 88 良 65 99 25 1.1 60 67 
2014-02-28 96 良 72 92 21 1 53 90 
2014-03-01 29 优 18 24 8 0.7 39 58 
2014-03-02 65 良 47 70 24 1 35 113 
2014-03-03 60 良 27 54 32 0.8 34 112 
2014-03-04 43 优 28 43 12 0.8 50 66 
2014-03-05 50 优 32 48 13 0.8 34 100 
2014-03-06 46 优 24 46 12 0.8 42 71 
2014-03-07 43 优 22 43 12 0.8 40 83 
2014-03-08 53 良 38 52 12 0.9 39 86 
2014-03-09 70 良 51 67 20 0.9 47 94 
2014-03-10 118 轻度污染 89 121 42 1.2 46 128 
2014-03-11 85 良 63 86 15 0.9 30 118 
2014-03-12 48 优 31 48 13 1 46 83 
2014-03-13 56 良 37 63 22 0.9 39 69 
2014-03-14 83 良 61 104 30 0.9 62 96 
2014-03-15 78 良 49 82 21 0.8 45 134 
2014-03-16 64 良 43 77 17 0.8 37 117 
2014-03-17 68 良 49 85 36 1.1 57 103 
2014-03-18 123 轻度污染 93 147 34 1.3 78 161 
2014-03-19 109 轻度污染 82 124 22 1.1 66 107 
2014-03-20 80 良 59 94 24 1 46 73 
2014-03-21 51 良 21 52 17 0.7 43 91 
2014-03-22 70 良 35 70 18 0.8 43 124 
2014-03-23 58 良 19 38 8 0.7 21 110 
2014-03-24 53 良 19 38 28 0.8 27 103 
2014-03-25 51 良 28 52 14 0.9 44 71 
2014-03-26 102 轻度污染 76 121 30 1.3 69 120 
2014-03-27 84 良 62 89 17 1.2 46 102 
2014-03-28 43 优 20 31 8 1 36 86 
2014-03-29 59 良 42 65 16 1.2 52 60 
2014-03-30 133 轻度污染 101 143 28 1.4 47 154 
2014-03-31 87 良 65 88 34 1.2 44 112 
2014-04-01 74 良 54 74 21 1.1 68 77 
2014-04-02 75 良 55 77 25 1 59 73 
2014-04-03 57 良 40 63 20 0.9 55 86 
2014-04-04 67 良 29 59 22 0.8 45 120 
2014-04-05 83 良 42 81 20 0.9 44 140 
2014-04-06 52 良 14 38 11 0.7 28 102 
2014-04-07 63 良 22 39 19 0.8 26 115 
2014-04-08 68 良 50 74 19 1 56 100 
2014-04-09 69 良 50 77 21 1.1 52 117 
2014-04-10 80 良 41 62 13 1 38 136 
2014-04-11 73 良 36 55 9 0.9 25 128 
2014-04-12 61 良 44 69 14 1.1 41 93 
2014-04-13 61 良 44 62 12 1.1 31 102 
2014-04-14 75 良 35 54 29 1 40 130 
2014-04-15 72 良 38 61 13 1 37 126 
2014-04-16 66 良 31 52 8 1 31 119 
2014-04-17 134 轻度污染 102 156 33 1.3 66 163 
2014-04-18 103 轻度污染 77 125 30 1.2 55 115 
2014-04-19 41 优 25 37 11 0.9 37 81 
2014-04-20 48 优 28 39 10 0.8 26 96 
